"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.106729558E1,-2.644667149E0,-7.841279984E0,-5.170889854E0,9.757973047E0
2.106976922E1,-2.606382132E0,-7.807780266E0,-5.084748268E0,9.675191236E0
2.107224277E1,-2.558525562E0,-7.716853142E0,-5.032105923E0,9.561274260E0
2.107471636E1,-2.491526604E0,-7.668996811E0,-4.950151920E0,9.461776838E0
2.107718995E1,-2.414956331E0,-7.563712597E0,-4.840082169E0,9.298825610E0
2.107966355E1,-2.343171597E0,-7.496713161E0,-4.701298237E0,9.153871665E0
2.108213709E1,-2.338385820E0,-7.448856831E0,-4.629513741E0,9.076668651E0
2.108461068E1,-2.304886341E0,-7.377072334E0,-4.538586140E0,8.962837799E0
2.108708428E1,-2.218744755E0,-7.286144733E0,-4.423730850E0,8.807958220E0
2.108955782E1,-2.209173441E0,-7.204190731E0,-4.361517429E0,8.706528910E0
2.109203136E1,-2.204387903E0,-7.103692055E0,-4.294518471E0,8.588635266E0
2.109450495E1,-2.142174482E0,-7.060621262E0,-4.299304008E0,8.539631085E0
2.109697855E1,-2.079961061E0,-6.960123062E0,-4.265804768E0,8.424170070E0
2.109945214E1,-2.051247120E0,-6.859624386E0,-4.241876125E0,8.321993423E0
2.110192568E1,-2.022533417E0,-6.725626469E0,-4.165306091E0,8.165443506E0
2.110439928E1,-2.046461582E0,-6.644270420E0,-4.141377926E0,8.092301622E0
2.110687287E1,-1.989033818E0,-6.524629116E0,-4.170091629E0,7.994792357E0
2.110934641E1,-1.989033818E0,-6.424130440E0,-4.170091629E0,7.912987529E0
2.111181995E1,-1.984248161E0,-6.290132523E0,-4.174877167E0,7.805934106E0
2.111429355E1,-1.969891191E0,-6.141179085E0,-4.184448719E0,7.687923187E0
2.111676714E1,-1.931606054E0,-6.074180126E0,-4.194019794E0,7.629978256E0
2.111924074E1,-1.960319996E0,-5.925825119E0,-4.179663181E0,7.511846786E0
2.112171428E1,-1.989033818E0,-5.820540905E0,-4.136591911E0,7.412580158E0
2.112418787E1,-1.965105653E0,-5.753541946E0,-4.127020836E0,7.348277767E0
2.112666141E1,-1.950748682E0,-5.638686657E0,-4.136591911E0,7.260275496E0
2.112913506E1,-1.955534339E0,-5.562116146E0,-4.098307133E0,7.180346226E0
2.113160860E1,-1.917249203E0,-5.514259815E0,-4.131806374E0,7.152253472E0
2.113408219E1,-1.926820397E0,-5.447260857E0,-4.103092670E0,7.086653452E0
2.113655579E1,-1.941177368E0,-5.346762180E0,-4.093521118E0,7.008063251E0
2.113902938E1,-1.998605132E0,-5.284548759E0,-4.088735580E0,6.974140572E0
2.114150292E1,-2.051247120E0,-5.322834015E0,-4.141377926E0,7.049197672E0
2.114397652E1,-2.032104731E0,-5.341976643E0,-4.179663181E0,7.080660167E0
2.114645011E1,-2.079961061E0,-5.337191105E0,-4.203591347E0,7.105070522E0
2.114892365E1,-2.132603168E0,-5.361119270E0,-4.241876125E0,7.161222603E0
2.115139719E1,-2.123031855E0,-5.466403484E0,-4.299304008E0,7.271371691E0
2.115387079E1,-2.190030813E0,-5.514259815E0,-4.380660057E0,7.375193476E0
2.115634438E1,-2.233101845E0,-5.562116146E0,-4.375874519E0,7.421061762E0
2.115881798E1,-2.295315027E0,-5.672185898E0,-4.366302967E0,7.517098212E0
2.116129152E1,-2.376671076E0,-5.739185333E0,-4.385445595E0,7.603877087E0
2.116376511E1,-2.395813704E0,-5.772684574E0,-4.395017147E0,7.640679696E0
2.116623865E1,-2.481955290E0,-5.882754326E0,-4.380660057E0,7.743195920E0
2.116871225E1,-2.601596355E0,-5.954539299E0,-4.371088982E0,7.831427759E0
2.117118579E1,-2.649452925E0,-5.983253002E0,-4.404588223E0,7.887922077E0
2.117365938E1,-2.721237659E0,-6.098108292E0,-4.433301926E0,8.015374296E0
2.117613298E1,-2.764308453E0,-6.160321712E0,-4.423730850E0,8.072196693E0
